"Var1","Freq"
"1","Anticipation",169
"2","Character.growth",142
"3","Clear.motivation",145
"4","Clear.premise",165
"5","Coincidence.avoidance",142
"6","Conflict.build.up",146
"7","Conflict.lock.in",173
"8","Early.exposition",185
"9","Familiar.setting",313
"10","Flashback.avoidance",869
"11","Important.conflict",991
"12","Interconnected",716
"13","<leaf>",221
"14","Linear.timeline",124
"15","Logical.characters",134
"16","Logical.ending",139
"17","Multidimensional.conflict",145
"18","Multidimensional.hero",128
"19","Strong.nemesis",92
"20","Surprise",45
"21","Surprise.ending",20
"22","Sympathetic.hero",4
"23","Unambiguous.resolution",1
