Movie Title	Lifetime Gross	Production Budget	ROI	Clear premise	Familiar setting	Early exposition	Coincidence avoidance	Interconnected	Surprise	Anticipation	Flashback avoidance	Linear timeline	Clear motivation	Multidimensional hero	Strong nemesis	Sympathetic hero	Logical characters	Character growth	Important conflict	Multidimensional conflict	Conflict build-up	Conflict lock-in	Unambiguous resolution	Logical ending	Surprise ending
Lord of the Rings: The Fellowship of the Ring	315544750	93000000	0.8661248656	6	7	8	5	6	4	3	4	9	3	4	5	4	7	6	6	6	9	7	3	7	4
Gladiator	187705427	103000000	0.0023105325	10	8	7	8	8	8	9	7	9	10	7	8	10	8	6	9	8	8	9	10	7	7
Kill Bill Vol. 1	70099045	30000000	0.2851491583	7	6	4	3	6	5	7	3	2	6	4	6	6	2	1	6	7	5	10	7	2	2
Rush Hour 2	226164286	90000000	0.3821150811	7	8	7	5	7	6	7	9	10	7	3	5	10	8	4	6	3	7	6	10	7	5
Kill Bill Vol. 1	70099045	30000000	0.2851491583	9	8	6	2	10	7	6	2	4	10	6	10	8	8	6	10	1	9	10	10	8	5
Gladiator	187705427	103000000	0.0023105325	9	7	8	8	9	5	6	8	10	10	5	9	10	8	4	10	2	7	7	10	10	2
Gladiator	187705427	103000000	0.0023105325	8	8	8	8	8	8	8	10	10	3	8	8	8	8	8	8	8	8	8	10	8	3
Pirates of the Caribbean: The Curse of the Black Pearl	305413918	140000000	0.1998403921	5	7	4	8	7	8	8	10	10	10	10	10	8	8	8	8	10	9	8	9	8	8
Lord of the Rings: The Fellowship of the Ring	315544750	93000000	0.8661248656	9	3	7	8	8	8	8	5	5	7	8	10	9	8	8	8	8	8	8	1	5	5
Kill Bill Vol. 1	70099045	30000000	0.2851491583	3	3	3	4	4	8	8	2	3	8	5	5	7	4	7	7	6	7	7	1	6	7
Lord of the Rings: Return of the King	377845905	94000000	1.210800508	10	7	8	8	8	8	8	4	8	8	9	10	10	8	10	10	10	10	10	10	10	5
Rush Hour 2	226164286	90000000	0.3821150811	4	6	6	4	6	6	5	7	8	4	7	4	7	7	7	7	7	7	5	8	8	4
